国名,名前,ポジション,クロス,決定力,ヘディング制度,ショートパス,ボレー,ドリブル,カーブ,FK精度,ロングパス,ボールコントロール,加速,トップスピード,俊敏性,リアクション,バランス,シュートパワー,ジャンプ,スタミナ,パワフル,ロングシュート,積極性,パスカット,ポジショニング,視野,ペナルティ,平静,防御意識,タックル,スライディング,GK ダイビング,GK ハンドリング,GK キック,GK ポジショニング,GK 反射神経,能力引用元
Brazil,DANI ALVES,DEFENDER,80.0,63.0,59.0,79.0,67.0,77.0,83.0,73.0,77.0,80.0,72.0,68.0,79.0,74.0,78.0,82.0,70.0,69.0,53.0,77.0,80.0,74.0,75.0,78.0,70.0,82.0,71.0,72.0,73.0,5.0,11.0,9.0,6.0,7.0,FIFA22
Brazil,EDER MILITAO,DEFENDER,69.0,48.0,82.0,79.0,34.0,70.0,60.0,40.0,76.0,73.0,83.0,88.0,70.0,83.0,62.0,62.0,85.0,86.0,80.0,42.0,82.0,85.0,64.0,59.0,60.0,74.0,83.0,84.0,83.0,11.0,8.0,15.0,12.0,15.0,FIFA22
Brazil,ALEX TELLES,DEFENDER,84.0,63.0,66.0,80.0,66.0,77.0,87.0,79.0,79.0,79.0,79.0,82.0,75.0,79.0,70.0,87.0,81.0,83.0,62.0,83.0,76.0,79.0,76.0,78.0,83.0,75.0,74.0,77.0,76.0,13.0,8.0,12.0,11.0,14.0,FIFA22
Brazil,BREMER ,DEFENDER,46.0,54.0,83.0,65.0,36.0,60.0,30.0,20.0,69.0,62.0,76.0,76.0,69.0,78.0,72.0,65.0,80.0,66.0,81.0,35.0,80.0,82.0,50.0,44.0,43.0,74.0,83.0,84.0,83.0,13.0,15.0,13.0,5.0,6.0,FIFA22
Brazil,CASEMIRO ,MIDFIELDER,58.0,64.0,79.0,84.0,62.0,69.0,62.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,89.0,90.0,81.0,91.0,87.0,75.0,80.0,66.0,84.0,85.0,88.0,87.0,13.0,14.0,16.0,12.0,12.0,FIFA22
Brazil,LUCAS PAQUETA,MIDFIELDER,72.0,79.0,66.0,80.0,74.0,86.0,77.0,74.0,78.0,86.0,74.0,76.0,77.0,81.0,79.0,77.0,79.0,82.0,75.0,75.0,76.0,71.0,80.0,82.0,75.0,86.0,67.0,72.0,63.0,14.0,9.0,12.0,11.0,11.0,FIFA22
Brazil,FRED ,MIDFIELDER,53.0,50.0,70.0,78.0,68.0,72.0,60.0,60.0,75.0,77.0,65.0,69.0,69.0,87.0,66.0,80.0,89.0,89.0,78.0,69.0,88.0,88.0,64.0,62.0,57.0,80.0,86.0,88.0,84.0,13.0,14.0,7.0,7.0,13.0,FIFA22
Brazil,FABINHO ,MIDFIELDER,75.0,63.0,75.0,84.0,47.0,78.0,71.0,53.0,82.0,81.0,65.0,68.0,64.0,86.0,64.0,81.0,75.0,88.0,81.0,70.0,85.0,88.0,70.0,76.0,90.0,85.0,86.0,88.0,86.0,13.0,12.0,6.0,8.0,8.0,FIFA22
Brazil,BRUNO GUIMARAES,MIDFIELDER,68.0,66.0,60.0,84.0,66.0,81.0,75.0,62.0,83.0,82.0,67.0,69.0,74.0,80.0,77.0,64.0,59.0,84.0,75.0,67.0,77.0,78.0,71.0,82.0,65.0,81.0,77.0,78.0,73.0,7.0,11.0,15.0,11.0,11.0,FIFA22
Brazil,EVERTON RIBEIRO,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,RICHARLISON ,FORWARD,73.0,81.0,83.0,78.0,75.0,85.0,74.0,65.0,61.0,83.0,85.0,81.0,79.0,81.0,73.0,83.0,86.0,81.0,77.0,72.0,84.0,46.0,82.0,74.0,77.0,81.0,45.0,58.0,48.0,12.0,7.0,8.0,11.0,13.0,FIFA22
Brazil,NEYMAR ,FORWARD,85.0,83.0,63.0,86.0,86.0,95.0,88.0,87.0,81.0,95.0,91.0,88.0,95.0,89.0,84.0,79.0,64.0,81.0,53.0,81.0,63.0,37.0,86.0,90.0,91.0,93.0,35.0,32.0,29.0,9.0,9.0,15.0,15.0,11.0,FIFA22
Brazil,RAPHINHA ,FORWARD,79.0,77.0,45.0,74.0,72.0,87.0,81.0,77.0,73.0,84.0,90.0,91.0,88.0,83.0,79.0,83.0,74.0,86.0,65.0,79.0,76.0,55.0,82.0,77.0,78.0,80.0,47.0,54.0,38.0,8.0,7.0,13.0,8.0,14.0,FIFA22
Brazil,GABRIEL JESUS,FORWARD,74.0,83.0,78.0,78.0,77.0,87.0,76.0,54.0,66.0,85.0,87.0,81.0,91.0,84.0,87.0,83.0,79.0,82.0,69.0,76.0,75.0,32.0,85.0,77.0,75.0,78.0,45.0,30.0,28.0,13.0,8.0,6.0,6.0,15.0,FIFA22
Brazil,ANTONY ,FORWARD,78.0,76.0,45.0,74.0,67.0,87.0,78.0,74.0,62.0,86.0,95.0,91.0,92.0,75.0,85.0,73.0,57.0,79.0,62.0,76.0,74.0,39.0,77.0,79.0,66.0,80.0,46.0,37.0,21.0,9.0,10.0,14.0,8.0,13.0,FIFA22
Brazil,VINICIUS JR,FORWARD,71.0,82.0,50.0,75.0,72.0,92.0,77.0,62.0,71.0,88.0,95.0,95.0,94.0,81.0,81.0,76.0,75.0,84.0,62.0,72.0,58.0,26.0,80.0,75.0,65.0,79.0,32.0,25.0,18.0,5.0,7.0,7.0,7.0,10.0,FIFA22
Brazil,RODRYGO ,FORWARD,73.0,77.0,62.0,75.0,67.0,84.0,80.0,73.0,62.0,82.0,88.0,86.0,87.0,78.0,85.0,72.0,73.0,81.0,42.0,72.0,54.0,21.0,79.0,71.0,74.0,82.0,25.0,36.0,32.0,9.0,8.0,12.0,8.0,5.0,FIFA22
Brazil,PEDRO ,FORWARD,88.0,69.0,72.0,88.0,62.0,85.0,87.0,69.0,79.0,87.0,86.0,84.0,80.0,85.0,78.0,80.0,72.0,90.0,62.0,79.0,73.0,82.0,81.0,84.0,52.0,86.0,81.0,84.0,80.0,6.0,9.0,15.0,14.0,14.0,FIFA22
Brazil,GABRIEL MARTINELLI,FORWARD,73.0,76.0,72.0,71.0,61.0,82.0,72.0,49.0,50.0,79.0,88.0,86.0,84.0,77.0,79.0,70.0,55.0,82.0,61.0,65.0,77.0,37.0,76.0,74.0,60.0,75.0,44.0,40.0,43.0,10.0,6.0,7.0,6.0,6.0,FIFA22
Cameroon,Brady NGAPANDOUETNBU,GOALKEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Devis EPASSY,GOALKEEPER,12.0,17.0,19.0,29.0,16.0,18.0,13.0,17.0,22.0,23.0,41.0,43.0,35.0,64.0,52.0,45.0,54.0,33.0,65.0,12.0,23.0,18.0,8.0,36.0,29.0,31.0,11.0,21.0,18.0,66.0,63.0,60.0,64.0,69.0,FIFA23
Cameroon,Andre ONANA,GOALKEEPER,15.0,12.0,20.0,43.0,13.0,26.0,30.0,17.0,53.0,38.0,62.0,60.0,66.0,81.0,53.0,65.0,77.0,38.0,79.0,17.0,32.0,15.0,11.0,64.0,27.0,64.0,12.0,18.0,14.0,81.0,80.0,86.0,81.0,83.0,FIFA22
Cameroon,Jerome NGOM MBEKELI,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Nicolas NKOULOU,DEFENDER,58.0,33.0,76.0,65.0,64.0,59.0,37.0,28.0,64.0,65.0,65.0,69.0,65.0,68.0,73.0,58.0,80.0,52.0,76.0,46.0,75.0,76.0,54.0,63.0,50.0,78.0,75.0,76.0,75.0,6.0,7.0,6.0,15.0,7.0,FIFA22
Cameroon,Christopher WOOH,DEFENDER,53.0,42.0,72.0,63.0,31.0,60.0,54.0,29.0,55.0,63.0,65.0,79.0,56.0,63.0,47.0,60.0,73.0,68.0,80.0,39.0,70.0,64.0,52.0,52.0,42.0,66.0,63.0,69.0,68.0,7.0,5.0,7.0,6.0,10.0,FIFA22
Cameroon,Olivier MBAIZO,DEFENDER,66.0,31.0,58.0,65.0,41.0,70.0,51.0,38.0,57.0,66.0,82.0,79.0,77.0,59.0,70.0,39.0,70.0,73.0,61.0,37.0,65.0,59.0,49.0,39.0,44.0,50.0,58.0,64.0,62.0,11.0,13.0,9.0,9.0,11.0,FIFA22
Cameroon,Collins FAI,DEFENDER,62.0,22.0,53.0,61.0,23.0,64.0,21.0,31.0,57.0,63.0,87.0,83.0,91.0,66.0,88.0,54.0,89.0,74.0,63.0,28.0,78.0,65.0,58.0,59.0,34.0,67.0,66.0,68.0,67.0,11.0,7.0,6.0,10.0,12.0,FIFA22
Cameroon,Jean-Charles CASTELLETTO,DEFENDER,47.0,18.0,77.0,63.0,32.0,57.0,49.0,23.0,57.0,68.0,69.0,68.0,64.0,68.0,49.0,50.0,88.0,72.0,75.0,26.0,78.0,73.0,56.0,36.0,36.0,58.0,73.0,75.0,74.0,12.0,14.0,14.0,14.0,9.0,FIFA22
Cameroon,Enzo EBOSSE,DEFENDER,66.0,28.0,67.0,62.0,27.0,65.0,40.0,31.0,53.0,70.0,72.0,74.0,54.0,63.0,63.0,45.0,75.0,71.0,75.0,38.0,65.0,68.0,51.0,45.0,41.0,52.0,65.0,72.0,68.0,13.0,7.0,9.0,12.0,10.0,FIFA22
Cameroon,Nouhou TOLO,DEFENDER,54.0,28.0,50.0,63.0,30.0,64.0,60.0,31.0,55.0,64.0,90.0,90.0,71.0,70.0,66.0,56.0,85.0,83.0,85.0,33.0,77.0,68.0,53.0,51.0,48.0,64.0,72.0,71.0,68.0,11.0,10.0,9.0,11.0,6.0,FIFA22
Cameroon,Gael ONDOUA,MIDFIELDER,55.0,38.0,55.0,68.0,47.0,60.0,39.0,41.0,67.0,61.0,70.0,63.0,56.0,63.0,59.0,64.0,72.0,87.0,75.0,39.0,71.0,65.0,60.0,68.0,49.0,54.0,65.0,65.0,62.0,6.0,9.0,9.0,8.0,13.0,FIFA22
Cameroon,Georges-Kevin NKOUDOU,MIDFIELDER,70.0,65.0,47.0,71.0,74.0,80.0,74.0,58.0,60.0,75.0,94.0,94.0,92.0,69.0,86.0,67.0,57.0,67.0,60.0,71.0,46.0,21.0,70.0,67.0,61.0,68.0,32.0,37.0,39.0,10.0,13.0,8.0,6.0,13.0,FIFA22
Cameroon,Andre-Frank ZAMBO ANGUISSA,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Samuel GOUET,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Pierre KUNDE,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Martin HONGLA,MIDFIELDER,57.0,67.0,73.0,76.0,60.0,76.0,71.0,39.0,76.0,74.0,79.0,79.0,81.0,62.0,74.0,78.0,81.0,84.0,78.0,73.0,63.0,70.0,63.0,70.0,55.0,80.0,64.0,66.0,58.0,14.0,9.0,5.0,8.0,13.0,FIFA22
Cameroon,Olivier NTCHAM,MIDFIELDER,68.0,63.0,51.0,74.0,66.0,75.0,73.0,70.0,72.0,77.0,69.0,66.0,77.0,59.0,79.0,77.0,74.0,73.0,76.0,72.0,66.0,65.0,68.0,75.0,72.0,77.0,66.0,63.0,60.0,8.0,14.0,14.0,6.0,6.0,FIFA22
Cameroon,Souaibou MAROU,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Nicolas NGAMALEU,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Jean-Pierre Nsame,FORWARD,39.0,77.0,78.0,65.0,77.0,73.0,56.0,43.0,46.0,75.0,78.0,77.0,70.0,76.0,64.0,79.0,83.0,76.0,86.0,70.0,66.0,18.0,80.0,58.0,74.0,74.0,28.0,19.0,15.0,13.0,12.0,5.0,15.0,5.0,FIFA22
Cameroon,Vincent ABOUBAKAR,FORWARD,63.0,76.0,75.0,73.0,76.0,80.0,80.0,67.0,68.0,80.0,73.0,73.0,72.0,75.0,63.0,77.0,75.0,74.0,86.0,72.0,76.0,33.0,77.0,76.0,74.0,82.0,44.0,23.0,19.0,8.0,10.0,9.0,7.0,8.0,FIFA22
Cameroon,Christian BASSOGOG,FORWARD,57.0,74.0,62.0,65.0,65.0,78.0,74.0,68.0,60.0,74.0,91.0,89.0,86.0,73.0,90.0,76.0,84.0,82.0,76.0,63.0,54.0,25.0,74.0,61.0,65.0,65.0,45.0,33.0,35.0,7.0,7.0,8.0,10.0,8.0,FIFA22
Cameroon,Karl TOKO EKAMBI,FORWARD,73.0,79.0,74.0,74.0,75.0,77.0,75.0,63.0,64.0,76.0,83.0,87.0,78.0,79.0,69.0,81.0,71.0,76.0,74.0,73.0,48.0,21.0,81.0,74.0,74.0,78.0,23.0,14.0,18.0,10.0,12.0,12.0,8.0,14.0,FIFA22
Cameroon,Eric Maxim CHOUPO-MOTING,FORWARD,65.0,74.0,75.0,75.0,74.0,81.0,74.0,44.0,63.0,78.0,69.0,70.0,73.0,75.0,65.0,78.0,70.0,72.0,80.0,64.0,57.0,40.0,76.0,67.0,68.0,75.0,31.0,36.0,20.0,9.0,9.0,9.0,16.0,6.0,FIFA22
Cameroon,Bryan MBEUMO,FORWARD,72.0,73.0,56.0,72.0,77.0,76.0,73.0,68.0,64.0,75.0,84.0,79.0,88.0,74.0,75.0,78.0,68.0,77.0,69.0,73.0,68.0,40.0,77.0,71.0,72.0,66.0,39.0,41.0,37.0,7.0,14.0,15.0,13.0,14.0,FIFA22
Canada,Dayne ST. CLAIR,GOALKEEPER,14.0,5.0,11.0,16.0,6.0,9.0,10.0,13.0,26.0,19.0,27.0,26.0,39.0,72.0,21.0,42.0,30.0,26.0,47.0,8.0,27.0,9.0,5.0,38.0,10.0,39.0,8.0,10.0,12.0,68.0,62.0,56.0,70.0,76.0,FIFA22
Canada,James PANTEMIS,GOALKEEPER,14.0,6.0,13.0,18.0,5.0,9.0,13.0,10.0,25.0,12.0,38.0,32.0,27.0,58.0,33.0,39.0,62.0,34.0,60.0,9.0,23.0,12.0,4.0,30.0,10.0,39.0,8.0,12.0,14.0,63.0,63.0,52.0,65.0,66.0,FIFA22
Canada,Milan BORJAN,GOALKEEPER,15.0,12.0,24.0,38.0,19.0,28.0,16.0,16.0,48.0,23.0,47.0,40.0,40.0,73.0,46.0,56.0,68.0,40.0,79.0,12.0,44.0,24.0,14.0,57.0,23.0,60.0,21.0,23.0,21.0,78.0,74.0,74.0,74.0,78.0,FIFA22
Canada,Alistair JOHNSTON,DEFENDER,62.0,43.0,54.0,63.0,34.0,59.0,62.0,37.0,59.0,63.0,80.0,79.0,76.0,66.0,68.0,64.0,73.0,77.0,71.0,45.0,74.0,68.0,55.0,54.0,49.0,63.0,71.0,70.0,69.0,8.0,9.0,14.0,11.0,11.0,FIFA22
Canada,Sam ADEKUGBE,DEFENDER,62.0,44.0,57.0,68.0,23.0,69.0,58.0,39.0,56.0,67.0,87.0,85.0,81.0,60.0,75.0,62.0,81.0,88.0,74.0,58.0,67.0,62.0,59.0,58.0,32.0,65.0,63.0,62.0,63.0,11.0,13.0,7.0,12.0,9.0,FIFA22
Canada,Kamal MILLER,DEFENDER,50.0,20.0,65.0,69.0,26.0,65.0,35.0,28.0,60.0,62.0,77.0,81.0,46.0,68.0,50.0,32.0,74.0,74.0,84.0,17.0,72.0,70.0,50.0,50.0,31.0,63.0,68.0,69.0,69.0,8.0,11.0,12.0,7.0,12.0,FIFA22
Canada,Steven VITORIA,DEFENDER,37.0,49.0,68.0,61.0,41.0,42.0,68.0,69.0,58.0,58.0,30.0,37.0,32.0,66.0,33.0,74.0,31.0,55.0,91.0,59.0,79.0,68.0,21.0,43.0,68.0,72.0,72.0,69.0,63.0,14.0,7.0,8.0,6.0,6.0,FIFA22
Canada,Richie LARYEA,DEFENDER,65.0,60.0,51.0,69.0,38.0,71.0,58.0,49.0,62.0,71.0,84.0,85.0,79.0,68.0,68.0,66.0,70.0,86.0,65.0,57.0,74.0,62.0,69.0,62.0,57.0,69.0,65.0,69.0,65.0,8.0,8.0,9.0,12.0,12.0,FIFA22
Canada,Derek CORNELIUS,DEFENDER,34.0,27.0,66.0,53.0,35.0,35.0,30.0,23.0,51.0,50.0,54.0,60.0,50.0,60.0,43.0,40.0,80.0,68.0,87.0,22.0,78.0,63.0,44.0,31.0,32.0,55.0,62.0,64.0,62.0,13.0,10.0,13.0,7.0,6.0,FIFA23
Canada,Joel WATERMAN,DEFENDER,29.0,28.0,61.0,65.0,22.0,49.0,28.0,24.0,65.0,58.0,34.0,54.0,51.0,64.0,37.0,39.0,65.0,64.0,78.0,17.0,71.0,62.0,34.0,55.0,44.0,54.0,66.0,64.0,61.0,6.0,7.0,10.0,11.0,11.0,FIFA22
Canada,Samuel PIETTE,MIDFIELDER,39.0,30.0,63.0,71.0,22.0,54.0,56.0,24.0,62.0,65.0,52.0,54.0,65.0,66.0,85.0,64.0,76.0,85.0,76.0,26.0,79.0,70.0,30.0,53.0,46.0,60.0,70.0,73.0,63.0,15.0,10.0,10.0,7.0,9.0,FIFA22
Canada,Stephen EUSTAQUIO,MIDFIELDER,72.0,55.0,55.0,77.0,55.0,70.0,74.0,65.0,75.0,75.0,68.0,65.0,71.0,76.0,72.0,69.0,76.0,81.0,69.0,67.0,68.0,75.0,62.0,75.0,64.0,76.0,70.0,76.0,73.0,6.0,5.0,13.0,7.0,11.0,FIFA22
Canada,Liam FRASER,MIDFIELDER,53.0,31.0,63.0,70.0,28.0,58.0,58.0,37.0,71.0,64.0,58.0,62.0,54.0,58.0,47.0,43.0,68.0,64.0,78.0,33.0,73.0,58.0,39.0,59.0,44.0,58.0,59.0,64.0,54.0,14.0,11.0,7.0,11.0,12.0,FIFA22
Canada,Junior HOILETT,MIDFIELDER,68.0,67.0,55.0,69.0,68.0,72.0,72.0,65.0,59.0,73.0,84.0,81.0,82.0,68.0,84.0,75.0,70.0,53.0,64.0,69.0,64.0,42.0,68.0,69.0,65.0,68.0,26.0,39.0,28.0,11.0,10.0,9.0,11.0,9.0,FIFA22
Canada,Atiba HUTCHINSON,MIDFIELDER,69.0,62.0,75.0,80.0,63.0,69.0,67.0,64.0,73.0,73.0,61.0,55.0,62.0,78.0,55.0,72.0,64.0,76.0,74.0,60.0,67.0,73.0,72.0,70.0,74.0,76.0,73.0,74.0,66.0,8.0,12.0,9.0,6.0,16.0,FIFA22
Canada,Mark-Anthony KAYE,MIDFIELDER,56.0,55.0,68.0,73.0,44.0,72.0,56.0,37.0,71.0,73.0,70.0,72.0,71.0,69.0,59.0,62.0,69.0,85.0,72.0,49.0,72.0,67.0,68.0,69.0,46.0,66.0,67.0,71.0,64.0,14.0,10.0,9.0,6.0,6.0,FIFA22
Canada,Ismael KONE,MIDFIELDER,39.0,55.0,51.0,64.0,34.0,66.0,52.0,37.0,64.0,66.0,72.0,81.0,64.0,60.0,52.0,66.0,63.0,64.0,59.0,55.0,60.0,52.0,55.0,60.0,39.0,64.0,51.0,52.0,45.0,7.0,7.0,13.0,9.0,13.0,FIFA22
Canada,Jonathan OSORIO,MIDFIELDER,60.0,69.0,55.0,78.0,63.0,75.0,65.0,65.0,68.0,75.0,64.0,59.0,83.0,74.0,78.0,72.0,43.0,90.0,64.0,66.0,58.0,64.0,74.0,72.0,58.0,75.0,64.0,64.0,55.0,8.0,11.0,7.0,15.0,13.0,FIFA22
Canada,Liam MILLAR,MIDFIELDER,63.0,61.0,54.0,62.0,50.0,69.0,54.0,35.0,52.0,68.0,81.0,81.0,73.0,58.0,69.0,66.0,72.0,59.0,68.0,60.0,29.0,15.0,60.0,60.0,56.0,63.0,14.0,22.0,23.0,14.0,9.0,13.0,7.0,8.0,FIFA22
Canada,David WOTHERSPOON,MIDFIELDER,70.0,63.0,58.0,67.0,41.0,73.0,70.0,68.0,65.0,71.0,68.0,67.0,75.0,63.0,64.0,64.0,67.0,79.0,66.0,66.0,63.0,47.0,66.0,72.0,53.0,73.0,55.0,62.0,61.0,9.0,12.0,9.0,16.0,7.0,FIFA22
Canada,Lucas CAVALLINI,FORWARD,31.0,70.0,74.0,60.0,69.0,68.0,44.0,61.0,41.0,68.0,73.0,71.0,56.0,67.0,50.0,77.0,80.0,73.0,92.0,65.0,86.0,23.0,71.0,56.0,68.0,68.0,45.0,32.0,13.0,10.0,11.0,6.0,7.0,15.0,FIFA22
Canada,Tajon BUCHANAN,FORWARD,60.0,66.0,60.0,64.0,50.0,75.0,49.0,25.0,54.0,73.0,93.0,91.0,79.0,70.0,69.0,66.0,71.0,72.0,62.0,55.0,59.0,49.0,65.0,67.0,55.0,66.0,52.0,62.0,50.0,13.0,9.0,7.0,8.0,7.0,FIFA22
Canada,Ike UGBO,FORWARD,57.0,77.0,68.0,66.0,71.0,69.0,43.0,38.0,38.0,67.0,75.0,80.0,70.0,74.0,63.0,68.0,74.0,65.0,75.0,55.0,61.0,26.0,73.0,63.0,73.0,68.0,21.0,30.0,19.0,11.0,13.0,5.0,13.0,11.0,FIFA22
Canada,Cyle LARIN,FORWARD,55.0,75.0,75.0,69.0,61.0,71.0,60.0,50.0,40.0,68.0,72.0,75.0,63.0,73.0,48.0,80.0,68.0,77.0,87.0,69.0,60.0,22.0,77.0,64.0,63.0,65.0,21.0,18.0,20.0,12.0,9.0,8.0,12.0,7.0,FIFA22
Canada,Alphonso DAVIES,FORWARD,84.0,64.0,69.0,82.0,59.0,87.0,72.0,44.0,67.0,84.0,96.0,95.0,86.0,84.0,84.0,74.0,78.0,82.0,75.0,63.0,77.0,79.0,77.0,75.0,60.0,78.0,74.0,78.0,74.0,11.0,11.0,6.0,5.0,14.0,FIFA22
Canada,Jonathan DAVID,FORWARD,67.0,82.0,72.0,77.0,73.0,78.0,58.0,58.0,69.0,78.0,83.0,87.0,77.0,76.0,71.0,77.0,86.0,85.0,77.0,74.0,37.0,33.0,82.0,73.0,75.0,81.0,29.0,29.0,19.0,7.0,7.0,11.0,7.0,7.0,FIFA22
Costa-rica,Keylor NAVAS,GOALKEEPER,11.0,15.0,11.0,40.0,11.0,24.0,21.0,15.0,37.0,30.0,54.0,53.0,60.0,85.0,61.0,56.0,74.0,39.0,75.0,13.0,32.0,22.0,16.0,68.0,25.0,67.0,28.0,14.0,14.0,89.0,84.0,75.0,87.0,89.0,FIFA22
Costa-rica,Esteban ALVARADO,GOALKEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Patrick SEQUEIRA,GOALKEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Daniel CHACON,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Celso BORGES,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Jewison BENNETTE,MIDFIELDER,63.0,63.0,34.0,65.0,46.0,72.0,56.0,33.0,61.0,67.0,81.0,86.0,85.0,60.0,76.0,56.0,49.0,60.0,45.0,54.0,31.0,24.0,64.0,61.0,49.0,52.0,25.0,28.0,24.0,14.0,11.0,7.0,12.0,9.0,FIFA23
Costa-rica,Bryan RUIZ,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Gerson TORRES,MIDFIELDER,73.0,48.0,70.0,62.0,43.0,48.0,44.0,63.0,60.0,75.0,62.0,76.0,63.0,65.0,72.0,62.0,62.0,79.0,65.0,59.0,75.0,57.0,55.0,48.0,70.0,62.0,68.0,68.0,77.0,10.0,10.0,12.0,11.0,11.0,FIFA22
Costa-rica,Youstin SALAS,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Yeltsin TEJEDA,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Brandon AGUILERA,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Douglas LOPEZ,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Roan WILSON,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Anthony HERNANDEZ,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Alvaro ZAMORA,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Juan VARGAS,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Keysher FULLER,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Oscar DUARTE,DEFENDER,40.0,48.0,77.0,60.0,46.0,49.0,37.0,32.0,63.0,59.0,46.0,51.0,48.0,67.0,48.0,56.0,74.0,64.0,83.0,40.0,75.0,73.0,35.0,46.0,37.0,68.0,76.0,76.0,72.0,15.0,9.0,7.0,8.0,14.0,FIFA22
Costa-rica,Bryan OVIEDO,DEFENDER,62.0,52.0,45.0,62.0,56.0,63.0,60.0,60.0,56.0,62.0,67.0,64.0,69.0,55.0,68.0,64.0,75.0,54.0,56.0,55.0,68.0,62.0,55.0,57.0,52.0,57.0,58.0,60.0,61.0,11.0,12.0,8.0,10.0,16.0,FIFA23
Costa-rica,Francisco CALVO,DEFENDER,59.0,41.0,70.0,64.0,36.0,64.0,61.0,42.0,66.0,63.0,64.0,64.0,62.0,73.0,78.0,55.0,84.0,78.0,77.0,39.0,82.0,74.0,54.0,52.0,43.0,64.0,60.0,66.0,68.0,8.0,15.0,8.0,12.0,6.0,FIFA23
Costa-rica,Carlos MARTINEZ,DEFENDER,32.0,72.0,57.0,54.0,52.0,53.0,33.0,34.0,34.0,54.0,57.0,63.0,56.0,62.0,56.0,54.0,60.0,56.0,63.0,55.0,26.0,11.0,64.0,43.0,58.0,45.0,18.0,10.0,18.0,6.0,6.0,13.0,8.0,14.0,FIFA23
Costa-rica,Kendall WASTON,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Ronald MATARRITA,DEFENDER,65.0,38.0,59.0,67.0,32.0,70.0,60.0,54.0,63.0,69.0,78.0,78.0,74.0,64.0,74.0,70.0,77.0,76.0,66.0,52.0,71.0,67.0,64.0,68.0,59.0,59.0,66.0,72.0,68.0,15.0,7.0,8.0,8.0,6.0,FIFA22
Costa-rica,Anthony CONTRERAS,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Johan VENEGAS,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa-rica,Joel CAMPBELL,FORWARD,73.0,74.0,65.0,75.0,68.0,80.0,72.0,69.0,70.0,77.0,75.0,74.0,76.0,70.0,64.0,78.0,75.0,64.0,82.0,72.0,64.0,45.0,74.0,74.0,70.0,74.0,32.0,40.0,42.0,8.0,15.0,14.0,15.0,14.0,FIFA22
Croatia,Dominik LIVAKOVIC,GOALKEEPER,13.0,12.0,13.0,46.0,10.0,19.0,12.0,11.0,56.0,28.0,57.0,54.0,65.0,77.0,30.0,53.0,61.0,32.0,75.0,9.0,26.0,21.0,11.0,60.0,15.0,64.0,24.0,20.0,21.0,80.0,76.0,71.0,77.0,84.0,FIFA22
Croatia,Ivo GRBIC,GOALKEEPER,14.0,9.0,11.0,35.0,8.0,15.0,20.0,13.0,32.0,21.0,31.0,23.0,24.0,69.0,24.0,55.0,58.0,25.0,68.0,7.0,26.0,12.0,9.0,40.0,19.0,30.0,11.0,13.0,12.0,75.0,70.0,73.0,73.0,75.0,FIFA22
